Compound Name	substrate_classification	pathway or gene (if multiple options, separated by pipe)	notes
Butein	polyphenols;Flavonoids;Chalcones	CHI	converted to the flavanone form by CHI
Xanthohumol	polyphenols;Flavonoids;Chalcones	CHI	not cleaved by FCR, presumed to be used by CHI
Phloretin	polyphenols;Flavonoids;Dihydrochalcones	PHY	hydrolyzed by PHY
Dihydroquercetin (taxifolin)	polyphenols;Flavonoids;Dihydroflavonols	flavonol/flavanonol degradation to phloroglucinol (anoxic)	converted to alphitonin by CHI, FCR cleaves to 2-hydroxy-1-(2,4,6-trihydroxyphenyl)-3-(3,4-dihydroxyphenyl)propan-1-one
(+)-Catechin	polyphenols;Flavonoids;Flavanols		not cleaved by FCR, experimental evidence suggests conversion to taxifolin through unknown mechanism
(-)-Epicatechin	polyphenols;Flavonoids;Flavanols		not cleaved by FCR, experimental evidence suggests conversion to taxifolin through unknown mechanism
Naringenin	polyphenols;Flavonoids;Flavanones	flavone/flavanone degradation to phloroglucinol (anoxic)|flavanone degradation (oxic)	FCR cleaves naringenin to phloretin
Eriodictyol	polyphenols;Flavonoids;Flavanones	flavone/flavanone degradation to phloroglucinol (anoxic)|flavanone degradation (oxic)	FCR cleaves eriodictyol to 3-hydroxyphloretin
Hesperetin	polyphenols;Flavonoids;Flavanones	flavone/flavanone degradation to phloroglucinol (anoxic)	not cleaved by FCR
Isoxanthohumol	polyphenols;Flavonoids;Flavanones	flavone/flavanone degradation to phloroglucinol (anoxic)	not cleaved by FCR
Homoeriodictyol	polyphenols;Flavonoids;Flavanones	flavone/flavanone degradation to phloroglucinol (anoxic)	FCR cleaves to 3-(4-hydroxy-3-methoxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one
Apigenin	polyphenols;Flavonoids;Flavones	flavone/flavanone degradation to phloroglucinol (anoxic)|flavone degradation (oxic)	reduced by FLR to naringenin, not cleaved by FCR
Luteolin	polyphenols;Flavonoids;Flavones	flavone/flavanone degradation to phloroglucinol (anoxic)|flavone degradation (oxic)	reduced by FLR to eriodictyol
